okr_id,parent_id,level,team,objective,kr,type,owner,baseline,target,actual,score,confidence,dependencies,risks,decisions_needed,source_doc_url,last_update
SW-O1,,Team,Software,提升 EOL 软件主线质量和严重稳定性问题闭环能力,,Committed,Software Lead,Q2 release and deployment baseline,Q3 software quality target,,0.62,Yellow,QA taxonomy; release report,Release metric denominator needs confirmation,Freeze Q3 release list,https://docs.example.com/software-okrs#sw-o1,2026-06-12
SW-O1-KR1,SW-O1,Team,Software,提升 EOL 软件主线质量和严重稳定性问题闭环能力,EOL software release 的现场逃逸 P0/P1/P2 降至每 release 2/3/5 以内,Committed,Software Lead,Q2 field escaped issue count,2/3/5 per release,,0.55,Yellow,Jira release report; QA escaped defect review,Severity definitions differ across teams,Lock release severity taxonomy,https://docs.example.com/software-okrs#sw-o1-kr1,2026-06-12
SW-O1-KR2,SW-O1,Team,Software,提升 EOL 软件主线质量和严重稳定性问题闭环能力,EOL software build 在开发阶段逃逸至 QA 阶段的 P0/P1/P2 不超过 5/10/25 per release,Committed,Software Lead,Q2 QA escaped Dev defect count,5/10/25 per release,,0.48,Yellow,QA bug taxonomy; release validation,Dev escaped classification needs consistency,Lock QA escaped Dev definition,https://docs.example.com/software-okrs#sw-o1-kr2,2026-06-12
SW-O1-KR3,SW-O1,Team,Software,提升 EOL 软件主线质量和严重稳定性问题闭环能力,IPC 卡死类 P0/P1 问题完成闭环，Q3内软件导致卡死每版本平均不超过1例,Committed,Software Lead,Known IPC freeze P0/P1 issues,Average software-caused freeze <= 1 per version,,0.37,Yellow,IPC issue tracker; stability validation,Root cause classification may remain incomplete,Confirm IPC freeze closure criteria,https://docs.example.com/software-okrs#sw-o1-kr3,2026-06-12
SW-O2,,Team,Software,提升 EOL 平台的规模化交付能力和成本效率,,Committed,Software PM,Q2 workflow and costdown baseline,Q3 scale delivery target,,0.51,Yellow,Product acceptance plan; IPC configuration matrix,Workflow acceptance plan still needs lock,Confirm workflow release milestone,https://docs.example.com/software-okrs#sw-o2,2026-06-12
SW-O2-KR1,SW-O2,Team,Software,提升 EOL 平台的规模化交付能力和成本效率,"workflow顺利完成3个产品验收阶段, 9月初发布第一版",Committed,Workflow Owner,0 product acceptance stages,3 acceptance stages and first version in early September,,0.46,Yellow,Product acceptance checklist; release calendar,Product acceptance criteria may move,Freeze three acceptance stages,https://docs.example.com/software-okrs#sw-o2-kr1,2026-06-12
SW-O2-KR2,SW-O2,Team,Software,提升 EOL 平台的规模化交付能力和成本效率,开发实现 workflow P0/P1自动化测试用例覆盖度达到80%,Committed,QA + Software,Current P0/P1 workflow automation baseline,80% P0/P1 automation coverage,,0.58,Yellow,QA automation plan; workflow test cases,Test case ownership unclear,Assign automation DRI,https://docs.example.com/software-okrs#sw-o2-kr2,2026-06-12
SW-O2-KR3,SW-O2,Team,Software,提升 EOL 平台的规模化交付能力和成本效率,目标 EOL 标准配置 IPC BOM 平均成本降低 10%，降本配置通过 EOL 标准性能和稳定性门槛，关键场景吞吐、延迟、FA/FR 不低于基线,Committed,Software + Hardware,Q2 IPC baseline configuration,10% BOM reduction with performance and stability gate passed,,0.33,Yellow,IPC benchmark; stability test; FA/FR report,Costdown configuration may miss performance baseline,Confirm Go/No-go benchmark,https://docs.example.com/software-okrs#sw-o2-kr3,2026-06-12
SW-O3,,Team,Software,打通 Smart Camera 从工程样机到可销售、可交付产品的 launch 路径,,Committed,Smart Camera Software Owner,Prototype validation baseline,Q3 launch readiness target,,0.44,Yellow,Product target applications; launch checklist,Target customer apps need confirmation,Freeze Smart Camera launch scope,https://docs.example.com/software-okrs#sw-o3,2026-06-12
SW-O3-KR1,SW-O3,Team,Software,打通 Smart Camera 从工程样机到可销售、可交付产品的 launch 路径,Smart Camera 在 3 个目标客户应用完成 E2E 部署验证，并达到约定 FA/FR 或验收指标,Committed,Smart Camera Software Owner,0 target E2E validations,3 target customer applications validated,,0.29,Yellow,Customer data; Application Team UAT; FA/FR report,Customer data availability could slip,Confirm target application list,https://docs.example.com/software-okrs#sw-o3-kr1,2026-06-12
SW-O3-KR2,SW-O3,Team,Software,打通 Smart Camera 从工程样机到可销售、可交付产品的 launch 路径,Smart Camera launch readiness checklist 100% 完成，覆盖硬件、软件、AI、制造、文档、服务支持,Committed,Product DRI,Partial launch checklist,100% launch readiness checklist,,0.52,Yellow,Hardware; AI; Manufacturing; Service,Checklist DRI ownership may be split,Assign single launch readiness DRI,https://docs.example.com/software-okrs#sw-o3-kr2,2026-06-12
